District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Jayashankar Bhupalapally ,Telangana,95.14,58.92,72.72,99.49,0.51,95.08,22.36,5.56,4.26,89.06,0.8773672499556641,178
Gwalior ,Madhya Pradesh,98.6,78.1,68.85,94.75,0.74,94.21,26.12,4.58,0.2,81.34,0.8773381207177351,179
Rajnandgaon ,Chhattisgarh,98.81,82.41,76.07,95.49,2.81,96.77,12.78,19.02,1.71,90.49,0.8773255926410153,180
Uttar Bastar Kanker ,Chhattisgarh,98.68,78.45,77.9,94.07,1.68,92.79,6.84,16.54,5.17,87.35,0.8772955622350035,181
Kurnool ,Andhra Pradesh,97.88,56.97,74.25,88.52,2.03,90.55,29.01,2.11,0.41,87.78,0.8758676233744694,182
Mandi ,Himachal Pradesh,96.46,93.96,70.25,86.58,1.41,86.37,31.57,1.42,0.59,84.16,0.875321732973351,183
Rewari ,Haryana,99.73,87.41,63.78,98.71,0.0,98.34,28.3,4.38,0.29,90.47,0.8750483259848992,184
Puri ,Odisha,98.52,87.67,94.92,97.67,0.0,94.94,40.4,25.5,0.0,93.88,0.8742562154554777,185
Dakshin Dinajpur ,West Bengal,99.73,74.31,76.37,91.4,3.14,94.04,20.15,12.83,2.3,83.17,0.8740902410642593,186
Bhilwara ,Rajasthan,93.08,58.06,64.66,95.01,1.03,96.04,12.35,4.16,0.4,95.66,0.8740363992257041,187
Badgam ,Jammu & Kashmir,95.75,74.12,66.5,96.47,2.01,98.48,25.28,5.39,0.03,88.66,0.8738026013165108,188
Vadodara ,Gujarat,99.49,84.57,65.92,95.92,1.81,95.19,27.63,6.83,0.39,90.68,0.8737999513000252,189
Gadchiroli ,Maharastra,82.99,79.35,86.76,97.33,1.76,98.22,5.62,26.54,3.07,91.52,0.873674789157418,190
Yavatmal ,Maharastra,89.45,80.75,66.92,96.29,1.76,96.79,10.5,12.3,0.65,85.56,0.8733852152211145,191
Ganjam ,Odisha,89.6,71.86,82.72,93.01,1.85,92.38,36.86,17.91,0.18,89.3,0.8733282941303168,192
Junagadh ,Gujarat,97.04,82.79,72.54,97.42,0.78,97.74,33.37,13.77,0.17,84.05,0.8732031448054787,193
Sri Potti Sriramulu Nello ,Andhra Pradesh,95.63,70.46,72.95,97.0,3.0,100.0,39.53,4.38,0.27,95.47,0.8731672367014293,194
Kalahandi ,Odisha,96.53,63.75,82.85,92.75,2.23,92.18,15.03,23.23,0.8,94.0,0.8729922146374669,195
Barmer ,Rajasthan,99.9,67.64,64.93,93.31,1.15,94.32,4.51,3.86,0.43,83.28,0.8729624827743137,196
Hingoli ,Maharastra,92.41,76.54,66.61,94.04,1.64,95.25,16.55,7.8,0.24,82.36,0.8726148234917387,197
Anand ,Gujarat,99.72,75.89,64.24,95.96,1.33,95.17,20.85,7.25,0.25,90.26,0.8725491034256821,198
Central ,NCT of Delhi,99.65,84.69,73.06,92.2,0.0,90.87,44.76,3.43,0.28,84.9,0.8723860123518526,199
Bhavnagar ,Gujarat,95.09,74.24,70.9,94.18,2.52,95.97,29.35,9.66,0.25,87.04,0.8721934905722967,200
Patiala ,Punjab,99.1,78.6,71.95,97.25,0.49,97.32,42.91,0.25,0.42,81.81,0.8715323721034797,201
Gondiya ,Maharastra,91.56,87.52,66.2,99.14,0.86,98.3,9.41,17.23,0.39,90.04,0.8712318888301297,202
Udaipur ,Rajasthan,92.66,64.22,62.32,96.05,1.61,97.4,9.1,4.45,0.33,96.57,0.8712002118539947,203
Cuttack ,Odisha,92.33,83.15,84.2,98.86,0.0,98.86,32.46,25.81,0.51,92.53,0.8710830896512443,204
Kishtwar ,Jammu & Kashmir,86.84,71.28,76.4,91.59,3.74,94.11,24.88,3.45,0.06,75.73,0.8709772088749307,205
Jalandhar ,Punjab,99.94,88.1,72.83,92.34,0.99,93.33,48.27,0.69,0.3,88.22,0.8709203921221453,206
Kolkata ,West Bengal,99.25,87.6,71.74,97.47,1.85,99.32,29.02,5.99,0.99,72.8,0.8704059831411467,207
Pune ,Maharastra,96.93,89.01,68.59,97.97,1.46,98.46,31.02,11.69,0.16,84.17,0.8700841566154545,208
Sirsa ,Haryana,99.25,73.12,61.91,99.34,0.0,99.34,29.26,1.1,0.28,97.41,0.8700786313646258,209
Birbhum ,West Bengal,99.38,70.79,78.38,90.31,2.43,92.2,13.39,8.06,1.67,67.49,0.8699609508426018,210
Shajapur ,Madhya Pradesh,91.75,61.98,64.68,98.14,0.71,95.37,16.02,5.33,0.34,85.63,0.8697534923319238,211
Morena ,Madhya Pradesh,97.11,70.71,64.92,94.76,1.04,89.99,20.15,4.93,0.17,84.23,0.8693171707285386,212
Dohad ,Gujarat,90.99,56.1,70.9,92.45,1.27,93.19,6.54,14.61,0.9,87.19,0.8689870051493787,213
Belgaum ,Karnataka,94.41,73.99,63.74,97.52,0.75,96.4,23.76,6.6,0.45,87.0,0.8689194894176024,214
Bhadradri Kothagudem ,Telangana,99.06,68.71,70.13,97.37,2.28,94.19,31.04,4.68,2.89,87.14,0.8687602246623657,215
Una ,Himachal Pradesh,98.77,92.52,71.66,89.65,2.48,89.9,41.17,0.76,0.19,84.87,0.8686885861368749,216
Tonk ,Rajasthan,90.89,56.36,66.17,97.37,0.53,97.93,10.02,8.58,0.52,84.5,0.8685789820764253,217
Medchal-Malkajgiri ,Telangana,99.94,79.52,69.62,98.26,1.55,96.17,41.79,3.04,2.37,90.64,0.8684833863486605,218
Chittoor ,Andhra Pradesh,98.46,69.32,65.28,97.1,1.28,97.55,33.41,4.3,0.43,93.78,0.8682287690705423,219
Alappuzha ,Kerala,98.41,99.7,65.68,99.38,0.62,100.0,41.89,1.83,0.18,89.24,0.8682205408319118,220
Purba Barddhaman ,West Bengal,99.13,73.19,80.5,95.95,1.99,94.27,23.93,9.93,1.17,65.21,0.8681654633143259,221
Vizianagaram ,Andhra Pradesh,93.1,58.32,71.35,99.01,0.46,97.61,28.82,11.41,0.8,83.89,0.8679846120152145,222
Yamunanagar ,Haryana,100.0,87.05,66.42,94.79,0.38,85.95,37.95,1.73,0.41,88.31,0.8679207202649014,223
Bhopal ,Madhya Pradesh,96.73,81.28,64.57,98.26,0.0,92.14,31.46,8.49,0.16,89.45,0.8678220957215809,224
Ratlam ,Madhya Pradesh,90.98,63.41,65.09,95.19,1.92,96.12,17.01,3.87,0.16,84.56,0.8676889425763128,225
Khandwa (East Nimar) ,Madhya Pradesh,88.67,67.65,62.2,93.17,1.18,93.14,13.67,6.87,0.37,93.34,0.867584331170415,226
Sonipat ,Haryana,97.17,89.13,64.07,99.7,0.0,90.19,39.25,2.88,0.17,94.51,0.8671926764361568,227
Mandsaur ,Madhya Pradesh,77.55,67.21,60.78,99.35,0.0,96.38,19.23,2.27,0.29,93.63,0.8666795003175253,228
Sambalpur ,Odisha,92.99,76.55,88.95,99.52,0.48,97.62,21.42,22.42,7.62,90.49,0.8664383152890528,229
Warangal Rural ,Telangana,98.96,60.14,70.42,100.0,0.0,94.5,26.37,2.8,6.49,93.78,0.8662047351527853,230
Jagatsinghapur ,Odisha,99.47,86.28,82.6,98.31,0.0,96.7,35.47,25.72,0.42,89.23,0.8659218203783908,231
Neemuch ,Madhya Pradesh,91.73,68.45,60.58,97.5,1.16,96.99,20.12,2.98,0.41,93.32,0.8657711795041078,232
Bhiwani ,Haryana,97.51,80.03,60.36,97.7,0.76,97.82,28.06,1.77,0.13,91.48,0.8655527241254006,233
Guna ,Madhya Pradesh,81.35,56.77,68.34,97.98,1.55,92.8,12.0,5.96,0.39,78.0,0.8652971941978407,234
Maldah ,West Bengal,99.04,72.25,82.75,87.68,1.75,88.92,21.98,8.37,0.26,61.61,0.8651461064349583,235
Gir Somnath ,Gujarat,98.2,73.12,80.69,87.12,4.8,91.82,17.31,18.9,0.37,90.84,0.864979496072103,236
Hyderabad ,Telangana,99.56,83.55,69.93,98.32,0.0,94.58,51.04,1.67,0.68,91.17,0.8648966197414605,237
Sahibzada Ajit Singh Nagar ,Punjab,99.88,86.73,69.02,97.42,0.51,97.93,48.88,0.5,0.62,87.28,0.8645301840042812,238
Bargarh ,Odisha,98.04,75.73,70.1,99.59,0.0,96.22,19.89,21.22,2.24,92.69,0.8643999269792483,239
Fatehabad ,Haryana,99.76,73.2,60.08,97.94,0.3,97.94,29.81,0.79,0.5,96.92,0.8643806742126033,240
Anantapur ,Andhra Pradesh,98.8,63.55,66.61,94.7,2.84,98.33,29.33,5.03,0.55,89.08,0.8629727859927976,241
Kandhamal ,Odisha,64.38,70.32,81.1,93.94,1.41,94.85,15.68,25.52,1.49,90.56,0.8629603417947642,242
Rajsamand ,Rajasthan,94.81,69.74,60.68,95.1,1.09,95.66,8.25,4.76,0.11,82.58,0.8624801584392767,243
Nirmal ,Telangana,98.3,58.58,69.65,96.65,0.48,91.6,22.5,12.96,3.5,87.15,0.8622074973523383,244
Balaghat ,Madhya Pradesh,83.33,79.79,69.12,95.1,2.1,97.69,4.25,20.19,2.77,92.05,0.8621730774609121,245
Bhind ,Madhya Pradesh,95.49,73.79,63.12,93.53,2.3,93.52,20.49,5.59,0.41,84.16,0.8619193877872788,246
Karimnagar ,Telangana,98.27,70.26,69.64,98.36,1.64,86.92,28.78,5.66,5.58,89.51,0.8617858467109146,247
Dhamtari ,Chhattisgarh,99.11,83.69,70.4,94.25,4.06,96.55,12.71,14.14,2.76,84.3,0.8617305587471047,248
Ranga Reddy ,Telangana,99.41,72.13,75.09,97.17,1.23,92.74,40.62,4.47,6.65,89.82,0.8615875855741392,249
Barnala ,Punjab,99.8,78.75,63.79,96.7,1.17,95.27,37.67,0.25,0.27,85.99,0.8614196025380597,250
Darjiling ,West Bengal,90.81,76.99,79.18,98.35,0.88,99.23,28.25,14.42,5.78,73.9,0.8608479765719748,251
Udham Singh Nagar ,Uttarakhand,99.91,72.26,75.92,85.14,3.57,81.55,35.42,5.34,0.35,81.97,0.8607539314213545,252
Udupi ,Karnataka,81.48,90.26,59.4,98.88,0.4,90.19,22.94,6.98,1.0,89.2,0.8604541181205242,253
Anugul ,Odisha,76.21,74.63,83.65,85.71,4.07,89.78,22.71,17.24,3.94,84.79,0.86007410592641,254
Gadag ,Karnataka,95.53,70.67,68.68,96.19,3.55,98.22,30.62,8.5,0.54,84.67,0.8599684464223731,255
Uttarkashi ,Uttarakhand,96.13,81.23,66.81,85.87,0.43,84.53,21.52,2.53,0.46,71.96,0.8599476824012249,256
Ganganagar ,Rajasthan,94.4,70.96,58.69,97.7,0.53,98.24,19.45,2.08,0.46,85.89,0.8598737389350478,257
Koch Bihar ,West Bengal,99.33,79.18,77.34,93.03,0.53,92.54,16.52,22.29,0.28,71.93,0.8596588677501539,258
West ,NCT of Delhi,99.78,83.23,67.06,91.75,2.82,93.92,40.6,1.96,0.52,86.92,0.8596483855501491,259
Kurukshetra ,Haryana,99.93,83.92,59.75,98.36,0.59,97.57,37.34,1.29,0.21,95.3,0.8596383003507517,260
Lahul & Spiti ,Himachal Pradesh,89.24,86.22,65.63,86.39,2.29,86.65,26.94,1.7,1.82,81.08,0.8593376315556679,261
Satara ,Maharastra,95.55,87.18,81.69,97.1,2.04,97.85,26.55,29.46,0.51,94.53,0.8592532501835074,262
Shahid Bhagat Singh Nagar ,Punjab,99.67,89.94,60.45,99.33,0.67,100.0,41.78,0.21,0.24,96.55,0.8589853445629502,263
Rupnagar ,Punjab,98.52,88.93,65.23,97.76,0.91,98.68,45.33,0.53,0.28,83.94,0.8585849535460004,264
Ujjain ,Madhya Pradesh,94.66,66.31,60.25,97.11,0.91,90.32,15.16,4.74,0.78,84.5,0.8585247727726252,265
Devbhumi Dwarka ,Gujarat,93.91,66.09,76.56,94.8,1.97,91.7,24.06,24.19,0.51,90.1,0.8581662165036015,266
Hoshiarpur ,Punjab,99.92,92.75,59.67,98.34,0.0,98.34,40.72,0.2,0.26,92.92,0.8577199815158617,267
Hamirpur ,Himachal Pradesh,98.0,94.84,59.43,97.6,0.0,92.38,37.11,0.66,0.26,88.85,0.8572691662969272,268
West Godavari ,Andhra Pradesh,99.07,76.97,62.73,98.7,0.73,98.47,45.34,2.24,0.15,94.75,0.8566059142629102,269
Rajanna Sircilla ,Telangana,98.69,64.7,67.06,97.55,1.21,95.4,23.83,8.5,6.13,89.92,0.8565196822136303,270
Betul ,Madhya Pradesh,87.09,76.06,74.02,87.61,4.59,83.46,17.71,11.92,3.08,85.44,0.856499573367001,271
Burhanpur ,Madhya Pradesh,95.96,67.6,63.1,90.72,2.58,92.33,12.23,9.52,1.01,84.61,0.8563600329016322,272
Jorhat ,Assam,85.92,85.09,66.95,96.49,0.44,97.4,19.9,16.48,4.03,81.44,0.8560912889284619,273
Leh(Ladakh) ,Ladakh,87.11,76.39,69.63,96.4,1.97,98.37,30.22,4.44,6.1,80.82,0.8559171008701821,274
Jhajjar ,Haryana,96.6,89.14,60.13,97.2,0.3,97.19,43.47,2.57,0.12,96.04,0.8556425825641724,275
Bharuch ,Gujarat,97.23,74.01,65.68,91.14,1.72,92.06,25.49,11.21,1.13,78.81,0.8549324485220003,276
Bageshwar ,Uttarakhand,92.03,87.78,67.93,82.01,3.68,84.97,17.6,7.71,0.5,78.08,0.8548510626427122,277
Tikamgarh ,Madhya Pradesh,79.95,70.63,64.15,89.8,4.38,93.68,10.4,5.59,0.3,86.87,0.854806205088397,278
Uttara Kannada ,Karnataka,84.82,84.34,57.88,99.27,0.36,99.18,22.61,10.5,0.29,87.37,0.8543232705789706,279
Rajouri ,Jammu & Kashmir,77.71,79.41,71.86,88.81,5.6,94.42,22.69,3.18,0.11,78.67,0.8538952273258623,280
Chhindwara ,Madhya Pradesh,89.06,75.03,66.95,92.16,0.84,92.31,18.6,21.1,2.33,90.24,0.8532560251064788,281
Kamrup Metropolitan ,Assam,87.21,86.01,68.86,89.11,2.22,90.12,21.26,11.84,3.86,75.55,0.8529963025595119,282
Mancherial ,Telangana,95.62,69.45,64.7,90.07,3.98,96.9,24.55,6.45,1.91,87.67,0.8526699778291894,283
Khargone (West Nimar) ,Madhya Pradesh,96.98,61.74,61.33,92.76,1.3,88.22,15.03,8.49,1.11,83.66,0.8526306450220409,284
Muktsar ,Punjab,97.79,72.73,57.87,96.39,1.19,95.95,30.76,0.38,0.31,88.09,0.852388888539283,285
Narsimhapur ,Madhya Pradesh,99.77,73.61,74.19,91.37,1.85,92.95,20.14,27.2,0.34,91.4,0.8523801854380036,286
Visakhapatnam ,Andhra Pradesh,91.78,69.54,58.59,95.25,0.0,94.35,23.79,6.34,1.32,84.78,0.8521112263070796,287
Guntur ,Andhra Pradesh,99.25,68.48,62.47,98.61,0.94,95.54,46.39,1.6,0.17,93.99,0.8514809252939791,288
Jhabua ,Madhya Pradesh,85.19,38.6,63.61,92.85,1.73,94.19,11.62,4.2,1.05,86.47,0.850466292980217,289
Paschim Barddhaman ,West Bengal,95.21,73.45,70.41,89.79,0.78,91.26,20.43,11.79,0.83,64.12,0.8501460580810236,290
Mahendragarh ,Haryana,99.71,82.73,55.2,98.91,0.72,98.85,29.51,2.31,0.37,87.99,0.8500874408545473,291
Kheda ,Gujarat,97.69,70.92,61.2,95.18,1.95,88.41,17.76,13.45,0.46,85.07,0.8497407197613585,292
Charkhi Dadri ,Haryana,97.32,84.41,53.44,98.94,0.74,99.68,28.75,1.89,0.12,93.88,0.8495868815690452,293
Kullu ,Himachal Pradesh,94.26,87.36,59.99,86.95,2.5,88.14,29.78,1.43,0.95,84.63,0.8492428206493247,294
Bidar ,Karnataka,98.88,73.79,55.27,98.98,0.25,91.72,20.8,8.53,0.25,89.64,0.8490465518050898,295
Haveri ,Karnataka,99.05,71.52,58.65,97.17,2.04,95.82,29.11,9.15,1.01,92.42,0.8489475012090258,296
Tarn Taran ,Punjab,95.6,68.61,60.25,95.97,0.92,95.42,39.03,0.14,0.48,85.48,0.8487753274231764,297
Raisen ,Madhya Pradesh,92.43,78.63,56.59,96.03,1.15,91.14,23.5,9.7,0.17,88.75,0.8485217996427025,298
South ,NCT of Delhi,100.0,86.62,85.57,81.97,7.13,90.0,40.03,3.77,0.68,82.88,0.8485038631591462,299
Udhampur ,Jammu & Kashmir,76.44,77.33,69.82,87.23,3.55,91.13,29.27,4.73,0.55,71.24,0.8484478319476568,300
Anantnag ,Jammu & Kashmir,99.27,74.66,80.91,90.47,8.05,98.08,28.63,2.91,0.16,85.14,0.8481488176675924,301
Nalgonda ,Telangana,99.24,62.6,65.72,98.27,1.73,99.01,28.5,3.99,7.39,92.22,0.8480914734687334,302
Pithoragarh ,Uttarakhand,90.92,89.1,58.71,84.89,1.9,83.24,21.82,4.29,0.29,82.01,0.8471895959729243,303
Doda ,Jammu & Kashmir,92.63,69.24,74.32,73.54,1.71,75.57,31.26,3.18,0.21,71.61,0.8471809409211747,304
Jaipur ,Rajasthan,99.92,73.75,53.5,97.33,1.21,98.01,18.12,6.3,0.22,89.42,0.84672440599537,305
Banas Kantha ,Gujarat,93.58,63.71,56.05,92.94,1.22,92.66,11.73,7.47,0.13,86.05,0.8466733312939818,306
Suryapet ,Telangana,99.78,63.48,70.42,95.94,4.06,94.22,33.92,3.04,6.06,88.61,0.8466475262577751,307
Nizamabad ,Telangana,99.42,63.07,78.53,97.3,0.97,91.84,27.51,8.6,9.76,79.48,0.8463633121968416,308
The Dangs ,Gujarat,91.21,68.92,90.21,74.45,4.44,77.08,8.06,18.47,4.63,80.14,0.8463535125436752,309
Kendrapara ,Odisha,99.73,86.74,77.1,96.66,1.71,94.58,24.06,30.93,0.46,85.47,0.8462821430562172,310
Dhenkanal ,Odisha,63.44,77.05,75.79,94.81,1.25,93.22,21.78,28.21,2.63,90.74,0.8461039176390437,311
Kangra ,Himachal Pradesh,98.57,94.43,56.28,90.17,1.96,87.54,30.95,1.18,1.12,88.66,0.8458389051847436,312
Punch ,Jammu & Kashmir,76.75,79.25,86.38,85.99,8.82,93.76,16.21,2.29,0.31,81.71,0.8456221207124281,313
Jogulamba Gadwal ,Telangana,96.98,45.04,72.91,94.15,2.49,91.65,21.89,9.72,7.14,88.3,0.8455781255553899,314
Pratapgarh ,Rajasthan,88.64,55.36,52.93,96.35,0.5,97.09,5.9,2.65,0.35,93.97,0.8454457496895728,315
Nashik ,Maharastra,86.34,79.99,66.41,90.49,3.26,89.93,21.66,15.39,0.21,76.5,0.8450635638216163,316
Davanagere ,Karnataka,97.45,75.98,63.05,98.31,0.69,88.14,38.06,8.92,1.71,78.93,0.8450239430277143,317
Ambala ,Haryana,99.29,88.85,57.39,97.83,0.98,90.95,41.62,0.8,0.44,86.92,0.8448193042477813,318
Bemetara ,Chhattisgarh,98.82,74.14,54.61,94.98,1.99,93.91,14.86,10.57,0.68,91.52,0.8443026519477522,319
Debagarh ,Odisha,86.17,69.53,77.52,91.22,3.74,90.75,13.39,20.84,6.89,88.53,0.8441516431214366,320
Mahesana ,Gujarat,97.01,75.05,56.58,97.25,0.85,91.55,24.32,7.7,0.18,79.73,0.843619855050822,321
Gurdaspur ,Punjab,97.56,84.39,61.09,92.4,3.41,92.66,41.04,0.39,0.63,85.96,0.8434308502589619,322
Washim ,Maharastra,73.71,77.95,59.97,92.94,1.78,83.09,14.16,14.34,0.38,83.38,0.8426812910870857,323
Kottayam ,Kerala,97.14,99.7,55.12,98.69,0.65,99.33,39.82,1.71,0.55,84.95,0.8423107312758108,324
Nuapada ,Odisha,97.49,57.19,71.65,89.8,3.45,92.7,11.86,23.69,0.91,85.92,0.8419730016231236,325
Hugli ,West Bengal,98.14,77.4,72.24,96.95,0.43,97.37,34.6,8.08,1.49,56.74,0.8412549872486258,326
Hanumangarh ,Rajasthan,97.83,69.72,53.12,94.94,1.98,96.92,17.55,1.53,0.1,83.35,0.8407500398827056,327
Dungarpur ,Rajasthan,94.12,68.19,50.62,94.11,1.85,95.47,4.36,3.6,0.26,92.56,0.8406402894658964,328
Kabeerdham ,Chhattisgarh,97.85,67.81,58.89,91.72,3.39,93.44,11.8,13.71,2.59,92.95,0.8406082226573465,329
Bid ,Maharastra,85.38,76.27,56.83,94.02,2.5,90.8,21.92,6.01,0.45,79.79,0.8404636745822579,330
Raipur ,Chhattisgarh,99.73,81.31,65.6,90.71,6.55,95.8,15.7,10.86,1.2,88.38,0.8403020124700654,331
Kanpur Nagar ,Uttar Pradesh,98.78,82.7,69.85,86.61,5.03,86.96,25.24,9.46,0.33,71.1,0.8396822570078422,332
Jodhpur ,Rajasthan,96.52,68.18,56.71,90.03,3.14,92.57,13.31,6.87,0.16,81.56,0.839390041925732,333
Vidisha ,Madhya Pradesh,95.72,68.89,54.44,90.61,1.93,91.58,19.76,8.81,0.05,87.84,0.8393191780379373,334
Moga ,Punjab,99.21,76.0,58.43,93.04,4.33,95.31,33.06,0.26,0.45,87.43,0.8389530223843431,335
Amritsar ,Punjab,99.62,81.68,56.49,95.9,2.9,98.8,42.3,0.2,0.14,90.14,0.8385764565602942,336
Ludhiana ,Punjab,99.87,85.28,65.19,90.12,4.68,92.35,45.09,0.46,0.28,82.51,0.8385177511793308,337
Bellary ,Karnataka,94.72,64.44,56.36,95.74,2.38,95.95,27.32,8.18,0.95,86.62,0.8383234105681244,338
Jind ,Haryana,96.17,83.56,49.63,98.68,0.63,98.95,32.33,2.51,0.0,96.39,0.8382674755545865,339
Dausa ,Rajasthan,99.37,62.18,53.64,98.17,0.0,96.08,9.08,15.78,0.18,89.67,0.837005504262082,340
Bhadrak ,Odisha,100.0,82.58,74.87,96.06,2.25,97.19,18.32,34.11,0.32,89.04,0.8369327864415259,341
Ashoknagar ,Madhya Pradesh,90.07,61.25,57.92,91.32,2.44,92.07,15.38,8.43,0.5,77.77,0.836916402793887,342
Aurangabad ,Maharastra,91.65,83.1,57.21,94.8,3.12,96.26,24.4,7.85,0.24,76.44,0.8368536914143254,343
Anuppur ,Madhya Pradesh,79.75,74.95,63.55,84.8,2.8,85.26,15.46,16.72,3.69,85.64,0.8365872904417415,344
Nagarkurnool ,Telangana,99.6,57.09,75.13,98.02,1.98,94.48,22.81,6.15,11.82,90.27,0.8361209772029585,345
Shivpuri ,Madhya Pradesh,86.8,62.45,52.71,94.46,1.92,93.97,16.42,7.52,0.2,88.14,0.8360285477802422,346
Surendranagar ,Gujarat,96.88,75.07,57.45,85.58,2.87,83.59,20.73,4.7,0.06,78.36,0.8358348228585111,347
Nanded ,Maharastra,94.76,71.91,53.48,94.81,0.9,92.56,19.18,5.67,0.21,76.13,0.8352410959292296,348
Ghaziabad ,Uttar Pradesh,99.13,81.78,62.0,86.44,4.06,88.01,43.73,1.67,0.09,84.8,0.8351908732200256,349
Ajmer ,Rajasthan,98.09,70.17,52.81,95.11,2.75,97.86,18.88,4.08,0.17,82.33,0.835163637801662,350
Imphal West ,Manipur,89.12,92.5,93.39,95.67,2.31,97.98,36.86,37.95,0.51,90.83,0.8351215037576317,351
Mahabubnagar ,Telangana,99.64,59.59,62.6,98.1,0.95,97.63,24.01,7.47,8.02,84.94,0.8349408005778712,352
Gurgaon ,Haryana,99.65,87.07,48.12,96.67,0.51,97.18,24.32,2.86,0.49,87.68,0.8347076508145377,353
