District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Darrang ,Assam,99.72,75.55,37.48,84.41,2.32,87.03,13.31,10.24,0.3,53.23,0.7635746211273169,531
Dibrugarh ,Assam,98.06,76.58,75.64,93.09,1.15,95.34,20.88,27.85,19.04,82.05,0.7634832907484842,532
Tinsukia ,Assam,96.84,70.51,63.14,82.63,1.02,83.17,16.9,23.13,15.65,73.56,0.7626730710463897,533
South Garo Hills ,Meghalaya,60.35,88.57,33.25,88.28,3.87,91.19,6.93,9.68,1.36,65.9,0.7625209680132169,534
Arwal ,Bihar,99.86,62.54,34.51,79.16,5.35,83.11,12.36,2.37,0.56,70.1,0.7615416571432057,535
Banka ,Bihar,96.31,55.73,31.74,79.79,3.77,80.4,13.4,1.81,0.49,72.26,0.7614366211737165,536
Gonda ,Uttar Pradesh,100.0,60.39,41.68,81.77,5.67,82.55,17.51,18.04,0.4,68.62,0.7609369561448157,537
Nawada ,Bihar,99.25,62.1,31.62,79.94,4.2,79.47,15.72,2.91,0.93,74.11,0.7609025932631661,538
Kannauj ,Uttar Pradesh,99.85,68.25,46.44,76.41,8.82,81.5,18.76,8.69,0.32,70.27,0.7607404820952095,539
Jamui ,Bihar,90.48,48.68,37.91,73.39,3.95,72.73,12.67,2.8,0.54,66.69,0.7606181851575904,540
Saraikela-Kharsawan ,Jharkhand,85.69,68.27,54.39,81.84,7.8,89.05,6.44,11.22,11.26,77.2,0.7602227431942347,541
Kaushambi ,Uttar Pradesh,98.34,61.99,34.04,88.64,5.4,92.8,17.3,14.87,0.24,74.16,0.759744329037866,542
Farrukhabad ,Uttar Pradesh,99.65,65.09,41.5,69.29,7.05,74.66,15.67,6.42,0.29,72.49,0.7595850133785998,543
Bhojpur ,Bihar,99.7,64.1,33.48,86.9,2.32,87.53,20.82,2.44,0.5,56.12,0.7594935548092164,544
Buxar ,Bihar,99.81,68.14,27.44,89.45,2.75,90.59,16.58,1.79,0.14,66.92,0.7594490495442473,545
Kanshiram Nagar ,Uttar Pradesh,99.36,60.6,38.09,74.81,3.91,77.15,20.69,6.88,0.37,62.0,0.7591746747575977,546
Sitapur ,Uttar Pradesh,99.7,59.16,35.39,84.81,5.45,87.8,15.43,13.75,0.09,71.54,0.7589928850943657,547
Pratapgarh ,Uttar Pradesh,97.82,77.73,30.62,90.82,4.5,93.11,25.03,11.89,0.47,71.13,0.757640739163415,548
West District ,Sikkim,89.87,85.73,70.36,99.33,0.0,99.33,24.48,8.87,20.51,63.57,0.7576299915897159,549
Panna ,Madhya Pradesh,85.53,62.94,30.87,84.04,3.63,85.98,15.68,13.57,0.28,73.49,0.7575489245142054,550
Vikarabad ,Telangana,99.73,59.32,54.82,95.01,2.04,86.71,25.67,11.58,17.0,80.77,0.7572200563624436,551
Chandauli ,Uttar Pradesh,97.49,73.85,32.91,86.24,5.0,85.06,23.13,7.11,0.36,65.18,0.7556874741414633,552
Malkangiri ,Odisha,94.71,41.29,82.77,90.66,3.4,93.82,10.09,33.53,18.37,89.47,0.7556270731305079,553
Udalguri ,Assam,82.32,70.02,49.81,86.15,1.86,87.87,14.04,12.19,11.06,53.07,0.7551585932268938,554
Baloda Bazar ,Chhattisgarh,94.79,75.01,49.47,78.14,10.17,86.17,14.71,14.89,1.75,72.64,0.7550662236931316,555
Hoshangabad ,Madhya Pradesh,93.53,73.55,31.46,91.75,0.76,82.02,20.56,21.42,1.22,67.63,0.7541803934787988,556
Ranchi ,Jharkhand,86.27,78.4,35.21,87.28,7.65,94.65,14.9,8.26,5.65,83.13,0.7540258765340219,557
Kaimur (Bhabua) ,Bihar,97.96,66.04,25.58,83.33,5.2,86.04,11.81,2.79,0.45,81.56,0.7539751313301432,558
North Tripura ,Tripura,75.58,83.12,67.1,85.36,1.3,86.66,16.8,52.46,6.12,76.55,0.7538016767680762,559
Dimapur ,Nagaland,92.42,86.62,50.08,73.71,9.36,80.73,21.06,16.39,1.71,68.74,0.7535593690377346,560
Garhwa ,Jharkhand,92.52,62.74,29.78,83.98,4.37,88.15,13.63,4.82,2.97,70.33,0.7527485727712608,561
Siwan ,Bihar,99.81,70.9,30.26,86.36,4.44,86.92,23.3,4.61,0.41,63.91,0.7524250831227954,562
Sant Ravidas Nagar (Bhadohi) ,Uttar Pradesh,96.73,72.57,25.78,90.3,3.71,92.28,26.45,7.42,0.11,69.49,0.7504265676556894,563
Nalanda ,Bihar,98.9,56.07,29.31,80.31,6.39,85.1,16.03,2.81,0.3,77.48,0.7497489309275622,564
Charaideo ,Assam,96.4,71.93,64.53,88.21,2.2,90.47,10.3,25.4,17.68,70.49,0.7490136608335755,565
Hardoi ,Uttar Pradesh,99.9,59.3,39.68,73.93,8.17,79.06,13.55,6.53,0.06,66.97,0.7477492000374688,566
Sambhal ,Uttar Pradesh,100.0,52.57,32.87,74.24,5.19,78.19,19.63,4.85,0.15,67.48,0.7477382691423172,567
Etah ,Uttar Pradesh,99.82,70.8,33.6,76.69,5.21,80.79,20.41,5.03,0.56,60.18,0.7475926101608336,568
Hazaribagh ,Jharkhand,85.49,69.67,36.41,82.03,7.18,85.62,14.96,4.75,3.44,65.42,0.7473340109528185,569
Shrawasti ,Uttar Pradesh,99.26,40.75,42.35,80.42,6.07,84.27,13.73,24.18,0.27,68.27,0.7471255083965062,570
Giridih ,Jharkhand,87.63,57.32,42.1,70.74,7.75,76.74,7.75,4.37,1.38,61.27,0.7461797427080664,571
Jehanabad ,Bihar,99.75,63.18,17.43,89.11,1.33,88.25,14.33,5.47,1.06,77.67,0.7439699069545482,572
Serchhip ,Mizoram,97.73,99.72,60.25,96.18,0.62,96.79,23.99,62.7,0.43,86.16,0.7437525588467631,573
Gaya ,Bihar,99.21,59.4,25.07,76.58,4.16,77.66,10.82,3.69,0.9,72.48,0.7428899253008726,574
Lakhimpur ,Assam,81.22,83.86,51.67,96.16,0.99,96.82,12.4,27.19,15.5,67.67,0.7425321249314921,575
South Tripura ,Tripura,90.51,80.25,58.42,89.72,0.66,88.56,22.82,51.03,5.55,67.99,0.7423967137172643,576
Mungeli ,Chhattisgarh,97.95,68.55,67.32,69.81,14.49,83.16,17.52,13.74,1.2,74.44,0.7420888805434925,577
Fatehpur ,Uttar Pradesh,98.79,66.45,38.09,81.36,7.24,85.64,15.81,20.8,0.84,66.75,0.7419002399754364,578
Medak ,Telangana,99.87,57.71,68.52,98.87,1.13,92.93,23.28,6.42,23.79,80.83,0.7415446451455912,579
Gopalganj ,Bihar,99.92,63.31,27.88,85.92,3.28,88.02,17.94,5.18,0.14,53.88,0.7411950073889895,580
Bongaigaon ,Assam,95.33,75.76,33.91,84.53,4.89,89.1,16.93,18.81,0.95,57.02,0.7408492629365045,581
Sonbhadra ,Uttar Pradesh,89.58,64.8,36.38,76.76,7.25,77.08,15.33,5.84,0.56,59.89,0.7403919385226754,582
Supaul ,Bihar,99.71,42.14,30.94,80.35,4.16,79.41,9.37,11.39,0.11,60.66,0.7387875862239338,583
Lohardaga ,Jharkhand,78.43,67.46,37.65,84.11,8.27,92.1,6.98,12.76,7.94,79.19,0.7387260043917038,584
Lakhisarai ,Bihar,96.62,57.89,28.04,75.78,5.38,76.2,16.17,2.42,0.75,66.67,0.7381413408700496,585
South West Garo Hills ,Meghalaya,58.58,82.57,28.51,83.68,4.94,88.32,9.02,11.09,1.21,60.59,0.7380032890076487,586
Shahjahanpur ,Uttar Pradesh,100.0,59.47,35.32,63.25,5.68,68.32,17.15,6.64,0.19,62.78,0.7375295489382733,587
Sepahijala ,Tripura,97.38,79.61,52.78,87.73,1.07,87.17,24.21,47.6,8.08,72.06,0.7354878696289255,588
Gumla ,Jharkhand,75.19,69.27,49.29,83.76,6.73,90.24,5.55,14.75,16.11,82.36,0.7338676744729407,589
East District ,Sikkim,93.58,90.14,43.82,91.83,3.94,94.17,38.21,11.15,14.49,65.76,0.7333661016876765,590
Ramgarh ,Jharkhand,76.71,72.73,40.92,78.98,10.96,89.71,14.14,8.64,5.85,77.97,0.7328424342177199,591
Biswanath ,Assam,76.19,69.15,46.49,84.25,0.62,84.56,10.57,27.81,11.46,56.51,0.7324416784963667,592
Madhubani ,Bihar,100.0,53.15,34.88,73.72,7.75,78.54,13.68,4.98,0.13,58.87,0.7319715437579748,593
Kendujhar ,Odisha,92.91,66.96,57.05,80.43,4.59,79.92,17.04,34.92,13.58,75.43,0.7314885559554106,594
Jamtara ,Jharkhand,93.0,57.37,35.98,75.37,7.7,82.51,7.09,13.61,5.29,69.91,0.7313033590953765,595
Begusarai ,Bihar,99.05,62.31,21.56,85.99,3.42,85.6,17.61,3.96,0.38,58.58,0.7312241969362261,596
Aurangabad ,Bihar,99.97,67.56,29.31,77.48,9.08,84.61,9.95,3.3,1.12,71.53,0.7309252415036115,597
Palamu ,Jharkhand,94.89,65.37,33.83,74.85,9.23,83.37,10.81,6.04,3.09,70.25,0.7305798555991048,598
Balrampur ,Uttar Pradesh,99.77,44.94,40.97,69.71,6.07,67.4,14.84,23.58,0.44,62.08,0.7288838650591509,599
Samastipur ,Bihar,98.58,54.25,23.53,83.38,2.86,83.71,15.17,3.51,0.13,52.09,0.728593862606546,600
Karimganj ,Assam,62.25,80.66,42.78,76.35,2.37,78.28,6.55,43.01,1.44,63.92,0.7283516234584847,601
Mayurbhanj ,Odisha,80.09,61.45,52.94,91.68,2.42,87.14,14.31,34.85,17.04,86.29,0.7274616153800143,602
Hailakandi ,Assam,41.18,82.19,43.13,83.03,2.16,84.79,10.91,45.14,3.13,68.79,0.7270804982819529,603
Pashchim Champaran ,Bihar,99.74,52.53,25.39,79.45,3.96,78.43,20.62,5.94,0.93,57.26,0.727066980756037,604
Kodagaon ,Chhattisgarh,98.77,56.13,64.05,78.72,5.54,83.65,6.08,28.62,18.25,79.44,0.7265779079841127,605
Champhai ,Mizoram,98.6,97.73,63.43,96.67,1.61,97.51,22.85,66.71,1.56,72.31,0.7263925364845804,606
Chatra ,Jharkhand,83.34,61.81,32.36,71.52,5.46,73.49,10.37,6.41,5.93,61.23,0.7259596553778114,607
Patna ,Bihar,98.76,67.64,17.92,89.14,3.25,81.44,21.47,2.06,0.36,59.03,0.7249592592586828,608
Mahamaya Nagar ,Uttar Pradesh,98.98,68.66,27.8,80.31,5.04,82.45,23.79,7.96,0.49,50.76,0.7247825113306504,609
Kokrajhar ,Assam,87.3,73.73,36.93,81.91,0.93,81.98,13.74,25.71,12.28,68.29,0.7242858666544689,610
North  District ,Sikkim,94.68,81.35,59.36,97.33,1.46,98.5,44.08,9.91,22.66,71.26,0.7239541628169935,611
Bhagalpur ,Bihar,97.99,65.56,27.62,77.17,6.34,77.47,19.39,2.39,0.15,53.95,0.7235053297014484,612
Vaishali ,Bihar,99.19,62.41,24.52,81.58,6.47,84.82,16.92,3.85,0.35,57.41,0.7227975774752373,613
Sheohar ,Bihar,100.0,52.5,25.33,74.27,6.35,77.03,7.58,4.53,0.29,61.14,0.722443679490466,614
Chitrakoot ,Uttar Pradesh,96.99,62.11,30.25,81.06,6.02,78.43,14.49,12.74,0.5,50.32,0.7209500274051538,615
Dhalai ,Tripura,70.3,71.63,52.02,87.26,0.46,87.71,19.1,55.16,7.49,72.36,0.7193017121224757,616
East Garo Hills ,Meghalaya,67.0,86.67,25.52,73.82,7.53,80.83,7.01,6.3,0.86,59.91,0.7184411053280109,617
East Khasi Hills ,Meghalaya,90.01,93.74,57.45,63.41,6.22,68.72,15.58,29.79,1.18,33.62,0.7180964008208773,618
South Salmara Mancachar ,Assam,98.16,63.46,35.33,71.71,8.09,79.38,8.53,25.15,0.16,62.61,0.7180438544832631,619
Dantewada ,Chhattisgarh,95.14,50.32,68.2,90.45,2.48,88.67,6.75,38.08,21.42,84.92,0.7172844604758598,620
Cachar ,Assam,43.79,77.18,32.69,79.2,2.08,80.24,9.12,33.16,2.48,57.27,0.7169631637310666,621
Kolasib ,Mizoram,95.27,96.86,65.98,91.36,2.65,93.2,26.03,70.58,0.93,71.49,0.7156577441150132,622
Dhubri ,Assam,96.7,69.52,37.56,64.17,5.81,68.94,12.37,21.78,0.34,48.41,0.715522428478548,623
Saran ,Bihar,99.74,65.56,30.74,72.97,8.62,79.09,19.11,4.15,0.57,54.05,0.7152525332231909,624
Lower Subansiri ,Arunachal Pradesh,98.14,76.8,39.08,89.77,2.84,92.61,23.21,17.97,16.82,67.74,0.7144075858205282,625
Muzaffarpur ,Bihar,99.89,62.99,28.18,72.51,7.87,78.21,16.46,7.24,0.51,55.86,0.7139942504860505,626
Lunglei ,Mizoram,96.0,91.58,56.72,82.69,3.92,80.18,20.63,62.84,0.85,67.13,0.7113329982235668,627
Karbi Anglong ,Assam,79.57,78.78,63.93,74.87,3.4,78.27,15.67,20.52,20.51,56.9,0.7101471842508178,628
Ribhoi ,Meghalaya,86.16,89.46,60.95,56.94,8.37,65.77,12.21,34.07,0.68,39.54,0.7088554674188431,629
Unnao ,Uttar Pradesh,98.48,68.18,19.76,80.84,5.7,81.2,20.64,9.45,0.3,54.17,0.7084596471454865,630
Tamenglong ,Manipur,51.6,76.79,56.42,57.69,11.86,69.85,24.43,17.24,2.19,52.74,0.708020459261333,631
Gomati ,Tripura,87.66,77.15,40.63,93.2,0.46,94.06,19.55,49.64,9.35,66.31,0.7065634738182216,632
Papum Pare ,Arunachal Pradesh,92.89,78.22,39.28,87.99,1.1,86.52,31.08,16.14,16.1,53.16,0.7059835185192554,633
Balrampur ,Chhattisgarh,84.44,66.81,52.09,78.89,10.35,89.24,9.94,21.36,16.21,78.59,0.7037635343591166,634
Godda ,Jharkhand,91.35,50.44,39.22,70.22,13.8,83.26,10.65,2.68,3.33,67.86,0.702438877546532,635
Madhepura ,Bihar,99.25,47.63,20.87,74.95,5.29,77.12,12.92,7.92,0.52,49.46,0.7020979943459544,636
Lower Dibang Valley ,Arunachal Pradesh,99.52,81.56,48.62,90.12,3.62,93.74,16.78,20.62,20.25,58.57,0.7002760280460031,637
Bara Banki ,Uttar Pradesh,98.84,61.13,22.56,75.98,5.03,73.28,17.05,11.16,0.23,41.49,0.6970029811844409,638
Khowai ,Tripura,83.19,80.46,41.5,95.72,1.62,95.19,15.41,51.32,9.63,59.66,0.6967679381134116,639
Dumka ,Jharkhand,92.59,55.62,39.27,60.27,8.92,68.97,9.14,9.59,8.84,54.86,0.6940681241861804,640
Araria ,Bihar,100.0,43.65,25.83,66.21,6.53,70.31,9.92,12.28,0.24,46.42,0.6937650709859265,641
Bahraich ,Uttar Pradesh,100.0,41.64,34.27,67.67,8.32,70.72,12.54,26.61,0.57,52.43,0.6915743994504187,642
Dima Hasao ,Assam,50.15,87.71,46.88,89.54,1.83,91.85,16.2,21.32,23.91,73.83,0.690674796863267,643
Churachandpur ,Manipur,62.49,84.19,61.31,72.94,7.06,80.0,27.99,62.08,1.16,58.24,0.6904422489618691,644
Lohit ,Arunachal Pradesh,96.88,73.43,39.61,90.24,2.57,92.3,30.93,17.78,20.92,66.22,0.6899971892696766,645
Khagaria ,Bihar,98.8,51.82,17.43,74.15,8.76,82.34,18.14,3.46,0.14,54.18,0.6887542129674296,646
Pakur ,Jharkhand,88.59,46.68,26.64,64.6,9.89,74.18,7.95,5.78,5.11,61.59,0.6882255090415597,647
North Garo Hills ,Meghalaya,51.51,86.14,24.28,61.52,5.9,63.2,11.14,3.84,2.18,40.47,0.686700909673031,648
Kohima ,Nagaland,89.87,95.23,28.31,66.88,12.17,78.86,11.6,14.44,1.2,58.86,0.6866652500951802,649
Sitamarhi ,Bihar,99.65,51.74,20.28,64.36,7.93,69.56,13.87,6.42,0.14,51.08,0.6860139652925074,650
Darbhanga ,Bihar,99.75,49.38,24.87,69.9,10.66,75.87,13.43,5.62,0.31,50.53,0.6838704530453563,651
East Jantia Hills ,Meghalaya,74.59,76.01,58.62,48.4,6.8,55.7,15.21,49.23,3.64,49.08,0.6800128792858566,652
Deoghar ,Jharkhand,90.78,54.22,30.74,61.29,12.63,72.27,10.94,6.57,1.95,55.57,0.6791855740580548,653
Sahibganj ,Jharkhand,88.22,54.86,36.17,64.69,14.0,75.69,14.31,4.67,6.66,64.76,0.6791704042964112,654
East Siang ,Arunachal Pradesh,97.27,83.76,34.26,90.84,1.68,89.23,27.87,24.65,18.75,55.71,0.6783889951781272,655
Purba Champaran ,Bihar,99.87,50.15,21.65,61.51,7.86,67.42,16.32,7.56,0.46,43.73,0.677017670828369,656
West Khasi Hills ,Meghalaya,80.52,87.37,64.0,41.74,7.24,49.25,8.72,50.17,1.6,41.98,0.6757845787065927,657
South West Khasi Hills ,Meghalaya,85.34,85.93,63.35,41.69,7.62,49.26,8.85,50.0,1.12,42.88,0.6756566848054768,658
Tirap ,Arunachal Pradesh,93.81,75.09,35.68,70.24,4.61,73.85,28.29,12.74,16.35,49.84,0.675258408592528,659
Mamit ,Mizoram,97.29,89.63,52.48,74.96,7.06,81.08,21.84,70.17,0.35,63.87,0.6748441492465838,660
Latehar ,Jharkhand,79.2,58.74,43.12,70.29,14.6,83.75,7.34,11.02,12.67,70.73,0.6725269700163812,661
Simdega ,Jharkhand,66.74,68.78,34.38,75.73,8.63,78.12,7.87,17.63,15.73,61.49,0.669292622874084,662
Majuli ,Assam,98.62,83.36,72.24,90.29,3.21,93.5,14.37,26.64,32.09,73.54,0.6685734903302645,663
Saharsa ,Bihar,100.0,43.13,11.66,70.39,5.57,72.86,12.84,10.67,0.2,38.54,0.6656189123656128,664
Longding ,Arunachal Pradesh,62.47,71.91,39.58,64.51,0.91,65.02,13.65,16.0,21.77,57.07,0.6655210531925263,665
Katihar ,Bihar,99.16,49.69,15.3,66.87,9.29,73.75,13.12,6.1,0.63,41.73,0.6618759063998929,666
Dhemaji ,Assam,95.25,81.47,62.16,87.25,4.23,91.48,15.58,26.24,30.55,72.84,0.6615519855197557,667
Ukhrul ,Manipur,50.85,86.89,38.81,44.58,9.94,54.51,14.53,32.88,0.94,44.86,0.6580299031514131,668
Purnia ,Bihar,99.63,47.52,11.13,68.87,9.27,74.21,14.37,6.19,0.87,41.02,0.6533627910558906,669
Upper Siang ,Arunachal Pradesh,99.82,74.37,34.01,75.98,3.28,78.75,27.28,21.31,21.99,56.38,0.6516893422721974,670
Tawang ,Arunachal Pradesh,99.77,59.08,37.61,84.18,5.67,89.85,35.44,5.07,23.41,49.59,0.649869136261231,671
Kurung Kumey ,Arunachal Pradesh,99.79,76.45,44.11,69.16,1.6,69.71,23.27,16.42,27.47,62.34,0.6496525819584937,672
Dibang Valley ,Arunachal Pradesh,100.0,77.83,40.38,85.52,3.47,88.09,21.66,20.25,27.88,66.19,0.6476458891548794,673
West Kameng ,Arunachal Pradesh,99.76,73.69,27.59,93.57,4.55,92.03,25.74,13.85,19.54,38.85,0.6457616530940642,674
Khunti ,Jharkhand,68.59,59.89,37.43,73.77,10.95,80.07,3.91,16.21,19.83,63.87,0.6448119706186551,675
Nicobars,Andaman & Nicobar Islands,98.81,87.54,71.65,97.81,0.79,98.6,39.11,63.46,29.59,85.09,0.6445030153313785,676
Narayanpur ,Chhattisgarh,90.52,53.84,59.1,74.16,11.47,82.46,5.65,32.66,24.65,76.87,0.6442751187797263,677
Unakoti ,Tripura,78.56,76.35,24.59,71.5,2.94,66.03,16.6,54.93,3.39,44.5,0.6442592235009889,678
Peren ,Nagaland,92.45,77.59,14.54,43.47,9.64,52.49,16.36,13.44,1.43,46.88,0.6408320578824016,679
Longleng ,Nagaland,76.28,82.0,15.39,38.68,5.93,44.61,6.97,7.94,0.48,28.45,0.6400170403124795,680
Mokokchung ,Nagaland,97.44,94.04,18.21,51.48,12.23,61.68,15.21,22.2,0.36,47.38,0.6385448083502518,681
West Jaintia Hills ,Meghalaya,70.63,80.02,43.12,42.17,7.74,50.72,15.39,44.81,1.3,28.57,0.6382659960057251,682
Chandel ,Manipur,68.64,80.17,66.62,55.52,19.28,74.03,33.74,47.9,1.19,55.02,0.6366273723924576,683
Chandel ,Mizoram,68.64,80.17,66.62,55.52,19.28,74.03,33.74,47.9,1.19,55.02,0.6366273723924576,683
Bastar ,Chhattisgarh,94.09,54.62,55.07,63.54,13.75,72.63,8.73,36.38,18.46,69.19,0.6364242772422115,685
Kishanganj ,Bihar,100.0,48.03,17.13,54.63,12.4,64.87,11.56,11.61,0.55,40.73,0.635526547533001,686
Sukma ,Chhattisgarh,95.96,40.48,73.99,81.22,6.41,84.8,3.77,44.45,32.15,80.61,0.6348095745793677,687
West Siang ,Arunachal Pradesh,99.06,77.92,30.42,84.57,3.41,87.56,27.39,16.86,26.87,61.4,0.6347426488543455,688
Kra Daadi ,Arunachal Pradesh,99.84,55.3,18.27,73.54,7.72,80.95,29.82,9.9,11.5,34.9,0.6346144660101212,689
Siang ,Arunachal Pradesh,96.29,87.36,31.13,81.1,2.09,82.7,15.81,19.61,27.3,56.02,0.6309686271126209,690
Changlang ,Arunachal Pradesh,81.8,77.6,46.94,75.05,6.3,81.25,17.14,21.88,30.04,69.74,0.6309291588579709,691
Zunheboto ,Nagaland,91.03,87.13,11.21,34.98,6.33,40.52,8.92,8.03,0.21,24.93,0.6255135597339898,692
West Karbi Anglong ,Assam,44.69,73.89,46.72,72.51,11.97,84.49,9.43,20.19,23.03,55.71,0.6252458831740152,693
Wokha ,Nagaland,83.41,91.63,34.7,43.59,19.89,63.48,18.29,12.93,1.09,50.73,0.6228881361160501,694
Tuensang ,Nagaland,90.37,77.77,4.36,34.84,4.78,39.15,10.82,14.87,0.56,29.52,0.616683109058882,695
Senapati ,Manipur,64.4,81.89,64.92,45.75,19.27,65.02,24.89,46.09,1.22,37.04,0.6161060878343404,696
Lawngtlai ,Mizoram,82.22,75.99,33.01,53.68,9.34,59.89,14.11,65.41,0.93,46.2,0.6151714914785614,697
East Kameng ,Arunachal Pradesh,93.58,62.16,29.12,75.96,4.35,80.31,19.64,24.9,27.39,53.64,0.6050958789691523,698
Anjaw ,Arunachal Pradesh,86.61,67.89,32.32,77.95,1.98,78.98,22.79,22.1,31.62,55.75,0.6019247662395554,699
Mon ,Nagaland,86.73,78.22,9.66,21.4,9.54,30.94,9.39,6.88,0.22,25.62,0.5995032500740195,700
Kiphire ,Nagaland,90.86,73.69,5.77,34.77,11.9,46.68,9.28,10.09,1.03,31.88,0.5978438894134701,701
Pashchimi Singhbhum ,Jharkhand,79.29,49.83,34.86,67.91,8.36,70.08,7.07,19.93,28.48,58.83,0.5954328427911592,702
Namsai ,Arunachal Pradesh,93.53,67.14,35.37,63.6,6.41,68.82,17.99,25.33,28.35,51.21,0.5912089294084,703
Phek ,Nagaland,98.08,85.82,9.48,32.2,18.46,50.65,14.11,9.92,0.89,39.59,0.5805880050146723,704
Bijapur ,Chhattisgarh,94.34,46.29,56.85,63.62,11.49,73.8,6.02,44.42,31.99,64.94,0.5744605487697237,705
Upper Subansiri ,Arunachal Pradesh,94.73,64.31,32.11,76.95,5.22,81.34,24.95,19.76,42.77,56.71,0.5423397271699716,706
Jabalpur ,Madhya Pradesh,97.99,72.44,-60.39,94.73,0.0,94.73,14.6,18.24,0.29,-97.48,0.46353395512329276,707
